Name,Exchange,SuperSector
CRDB Bank PLC (CRDB),XDAR,Banking
Dar es Salaam Stock Exchange PLC (DSE),XDAR,Securities
DCB Commercial Bank PLC (DCB),XDAR,Banking
JATU PLC (JATU),XDAR,Farming
Maendeleo Bank PLC (MBP),XDAR,Banking
Mkombozi Commercial Bank PLC (MKCB),XDAR,Banking
Mwalimu Commercial Bank PLC (MCB),XDAR,Banking
National Investments Co. Ltd. (NICO),XDAR,Finance Companies
NMB Bank PLC (NMB),XDAR,Banking
Precision Air Services PLC (PAL),XDAR,Passenger Airlines
Swissport Tanzania PLC (SWISSPORT),XDAR,Transportation Services
Tanga Cement PLC (TCCL),XDAR,Building Materials/Products
Tanzania Breweries Ltd. (TBL),XDAR,Alcoholic Beverages/Drinks
Tanzania Cigarette Co. Ltd. (TCC),XDAR,Tobacco
Tanzania Portland Cement Co. Ltd. (TWIGA),XDAR,Building Materials/Products
Tanzania Tea Packers Ltd. (TATEPA),XDAR,Non-Alcoholic Beverages/Drinks
TCCIA Investment PLC (TICL),XDAR,Finance Companies
TOL Gases Ltd. (TOL),XDAR,Chemicals
Vodacom Tanzania Ltd. (VODA),XDAR,Wireless Telecommunications Services
